eapa_case,respondents,commodity,country_of_origin,determination_date,notice_type,source_url
EAPA-7821,VY Industries,,,2024-10-22,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7850,"Mak Chemicals, Inc.",chemical (29),,2024-10-22,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7844,Guy and O’Neill Inc.,,,2024-10-18,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7907,"Sinoboom North America, LLC",,,2024-10-01,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7846,Shari Pharmachem USA,,,2024-09-11,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7839,AXN Heavy Duty LLC,,,2024-07-31,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7950,,,,2024-07-09,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7830,ADI ChemTech LLC,,,2024-07-09,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7814,"Texas United Chemical Company, LLC.",chemical (29),,2024-06-05,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7810,CIMC Intermodal Equipment LLC,,,2024-04-25,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7818,"AMVC-Midwest LLC aka Midwest Livestock Systems, LLC",,,2024-04-09,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
2024-04713,,,,2024-03-18,Covered Merchandise Referral (Federal Register),https://www.federalregister.gov/documents/2024/03/18/2024-04713/investigation-of-claims-of-evasion-of-antidumping-and-countervailing-duties
EAPA-7801,"Minth Mexico Coatings, S.A. de C.V.",,,2024-02-27,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7856,,,,2024-02-16,Amended Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7788,Cast Iron Soil Pipe Institute,steel (72),,2023-12-22,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
2023-21516,,,,2023-09-29,Covered Merchandise Referral (Federal Register),https://www.federalregister.gov/documents/2023/09/29/2023-21516/administrative-protective-order-service-and-other-procedures-in-antidumping-and-countervailing-duty
EAPA-7743,LTT International Trading Co.,,,2023-09-12,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7783,Superior Commercial Solutions LLC,,,2023-08-31,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7811,Suzhou Quality Import and Export Co.,,,2023-06-27,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
2023-13373,,steel (72),CN,2023-06-23,Covered Merchandise Referral (Federal Register),https://www.federalregister.gov/documents/2023/06/23/2023-13373/certain-carbon-steel-butt-weld-pipe-fittings-from-the-peoples-republic-of-china-preliminary-results
EAPA-7809,"Vanity Art, LLC and Legion Furniture, Inc.",wood (44),,2023-05-17,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7794,Colony Gums Inc.,,,2023-05-15,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7799,"Exquis Inc., Lollicup USA Inc., and Sanster Corporation",,,2023-05-09,Notice of Initiation of Investigations and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7734,"Fortress Iron, LP",,,2023-01-24,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7745,,,,2023-01-24,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7782,YVC USA Inc.,,,2023-01-19,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7740,"LE North America JV, LLC",,,2022-12-20,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
2022-25675,,,,2022-11-28,Covered Merchandise Referral (Federal Register),https://www.federalregister.gov/documents/2022/11/28/2022-25675/administrative-protective-order-service-and-other-procedures-in-antidumping-and-countervailing-duty
EAPA-7722,Vanguard Trading Company LLC,,,2022-11-17,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7737,"Gorilla Paper, Inc. and Gorilla Supply",,,2022-11-03,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7711,"Pitts Enterprises, Inc.",,,2022-10-25,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
