eapa_case,entity_name,role,country,source_pdf
EAPA-7663,"Nutrawave Co., Ltd., Starille, Ltd",importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Nov/10-26-2021%20-%20TRLED%20-%20Initiation%20Notice%20%28508%20compliant%29-%20%28Cons%20Case%207663%29%20-%20PV.pdf
EAPA-7663,"Newtrend USA Co., Ltd",importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Nov/10-26-2021%20-%20TRLED%20-%20Initiation%20Notice%20%28508%20compliant%29-%20%28Cons%20Case%207663%29%20-%20PV.pdf
EAPA-7663,"Geo Specialty Chemicals, Inc",alleger,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Nov/10-26-2021%20-%20TRLED%20-%20Initiation%20Notice%20%28508%20compliant%29-%20%28Cons%20Case%207663%29%20-%20PV.pdf
EAPA-7673,"Uni-Tile & Marble, Inc., Durian Kitchen Depot Inc., Kingway Construction",importer,,https://www.cbp.gov/sites/default/files/assets/documents/2022-Nov/10-06-2022%20-%20TRLED%20-%20Notice%20of%20Determination%20as%20to%20Evasion%20%28508%20compliant%29%20%20-%20%28Cons%207673%29%20-%20PV%20%283%29.pdf
EAPA-7673,"Supplies Co., Inc., Lonlas Building Supply Inc., Maika’i Cabinet & Stone Inc",importer,,https://www.cbp.gov/sites/default/files/assets/documents/2022-Nov/10-06-2022%20-%20TRLED%20-%20Notice%20of%20Determination%20as%20to%20Evasion%20%28508%20compliant%29%20%20-%20%28Cons%207673%29%20-%20PV%20%283%29.pdf
EAPA-7673,Top Kitchen Cabinet Inc,importer,,https://www.cbp.gov/sites/default/files/assets/documents/2022-Nov/10-06-2022%20-%20TRLED%20-%20Notice%20of%20Determination%20as%20to%20Evasion%20%28508%20compliant%29%20%20-%20%28Cons%207673%29%20-%20PV%20%283%29.pdf
EAPA-7673,American Kitchen Cabinets Alliance,alleger,,https://www.cbp.gov/sites/default/files/assets/documents/2022-Nov/10-06-2022%20-%20TRLED%20-%20Notice%20of%20Determination%20as%20to%20Evasion%20%28508%20compliant%29%20%20-%20%28Cons%207673%29%20-%20PV%20%283%29.pdf
EAPA-7675,"Acmetex Inc., New Fire Co. Ltd",importer,,https://www.cbp.gov/sites/default/files/assets/documents/2022-Apr/03-28-2022%20-%20TRLED%20-%20Notice%20of%20Investigation%20%28508%20compliant%29%20-%20%28Cons%20Case%207675%29%20-%20PV.pdf
EAPA-7699,"C.I.S. Investments, LLC",importer,,https://www.cbp.gov/sites/default/files/assets/documents/2022-Jun/05-24-2022%20-%20TRLED%20-%20Notice%20of%20Initiation%20and%20Interim%20Measures%20%287699%29.pdf
EAPA-7699,"Eastborn Private, Limited",foreign_supplier,China,https://www.cbp.gov/sites/default/files/assets/documents/2022-Jun/05-24-2022%20-%20TRLED%20-%20Notice%20of%20Initiation%20and%20Interim%20Measures%20%287699%29.pdf
